"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Psma71",1.18413328003968e-07,0.251229673603338,0.543,0.51,0.0039900555004217,"4","Psma7"
"Sp140l21",1.33230753263332e-07,0.424486923717872,0.256,0.211,0.00448934346196123,"4","Sp140l2"
"Tram11",1.44896715214515e-07,0.33720201982621,0.357,0.311,0.00488243971586831,"4","Tram1"
"Riok3",1.52130196666954e-07,0.407251769213647,0.305,0.26,0.00512617910688968,"4","Riok3"
"Nap1l4",2.08473079331459e-07,0.458954811155246,0.291,0.25,0.00702470888115284,"4","Nap1l4"
"Cd91",2.20554970083666e-07,0.294764074358107,0.439,0.393,0.0074318202719392,"4","Cd9"
"Lmo4",2.30119290589063e-07,0.330042109247558,0.363,0.321,0.00775409961568906,"4","Lmo4"
"Tmed2",2.45571924252526e-07,0.255999342496255,0.528,0.492,0.00827479155961313,"4","Tmed2"
"Fgfr2",2.93224642296192e-07,0.336545045393101,0.274,0.226,0.00988049754681249,"4","Fgfr2"
"Scd11",2.9849013070012e-07,0.407259649319992,0.265,0.219,0.0100579234440713,"4","Scd1"
"Pak2",3.11425954178717e-07,0.308856917656825,0.373,0.332,0.010493808952006,"4","Pak2"
"Tnks2",4.38637358151057e-07,0.302172541812118,0.397,0.356,0.014780324420258,"4","Tnks2"
"Trmt112",4.65970371468609e-07,0.307418634576872,0.357,0.312,0.0157013376370062,"4","Trmt112"
"Atf6",5.0866043981413e-07,0.357819496093472,0.276,0.231,0.0171398221799769,"4","Atf6"
"Bag1",5.21688818913824e-07,0.299431117201509,0.34,0.293,0.0175788264421202,"4","Bag1"
"Zfp106",5.42688761809802e-07,0.348931450984587,0.328,0.284,0.0182864405179431,"4","Zfp106"
"Nolc1",6.30381361129196e-07,0.265021055477107,0.456,0.418,0.0212413303446094,"4","Nolc1"
"Rpn1",7.37291743616733e-07,0.383162329654843,0.309,0.267,0.0248437825929094,"4","Rpn1"
"Vcpip1",7.44847569207862e-07,0.40201610299183,0.264,0.22,0.0250983836920281,"4","Vcpip1"
"Atp6v1a",9.50836274329651e-07,0.351649226056197,0.274,0.231,0.0320393790998119,"4","Atp6v1a"
"Rab7",1.13711425813062e-06,0.277904894960527,0.399,0.357,0.0383162020419692,"4","Rab7"
"Tex21",1.14695687276449e-06,0.370467086295435,0.257,0.214,0.0386478587846722,"4","Tex2"
"Eif1a1",1.19897843310328e-06,0.333251618499622,0.329,0.284,0.0404007772818481,"4","Eif1a"
"Rsf1",1.20610083242246e-06,0.346280516637765,0.271,0.227,0.0406407736493072,"4","Rsf1"
"Ost4",1.2639984331985e-06,0.276261090644104,0.43,0.393,0.0425916912050567,"4","Ost4"
"Sertad21",1.45264548544324e-06,0.257988013057557,0.425,0.383,0.0489483422774953,"4","Sertad2"
"Plaur1",1.50512518136677e-06,0.320741029264167,0.323,0.282,0.0507166981113346,"4","Plaur"
"C1qbp1",1.53678621922692e-06,0.300098332023709,0.367,0.325,0.0517835484430702,"4","C1qbp"
"Nup1071",1.63272993774615e-06,0.285221855805401,0.354,0.31,0.0550164679822943,"4","Nup107"
"Imp3",1.74966878504603e-06,0.365824552908759,0.267,0.226,0.0589568393809111,"4","Imp3"
"Sf1",1.81431409975314e-06,0.275523871281438,0.355,0.313,0.0611351279052818,"4","Sf1"
"Serpine11",1.82632823868853e-06,0.308277943225591,0.318,0.271,0.0615399563308488,"4","Serpine1"
"Ssr4",1.90353742689836e-06,0.280104988038743,0.404,0.362,0.0641415971367672,"4","Ssr4"
"Mrpl21",2.57030224907074e-06,0.341585674163279,0.3,0.259,0.0866089045846878,"4","Mrpl21"
"Mix23",2.65245074815253e-06,0.37566734172297,0.27,0.23,0.0893769804097478,"4","Mix23"
