,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
108,RUNX1(+),-0.9534086275661422,2.87839145063731e-81,3.4070755946319177e-81,0.2242912752118781,0.4343271479218546,248,9272,6
109,ATF3(+),-0.9425135677785428,4.207190850314149e-111,6.100426732955516e-111,0.30385313247564316,0.5839673603969379,248,9272,6
110,JUND(+),-0.931075249983792,5.0391686575543636e-151,2.922717821381531e-149,0.08679241933203186,0.16548680654239592,248,9272,6
111,REL(+),-0.9245323291427409,3.9717124157382905e-52,4.188351274778561e-52,0.15462954598544404,0.29349752622265524,248,9272,6
112,CEBPB(+),-0.919807299680667,5.045339417777334e-150,1.4631484311554268e-148,0.08233491861345701,0.1557663525336622,248,9272,6
113,FOSB(+),-0.9130534172502912,7.961778342473949e-142,2.8861446491468064e-141,0.04460452267278404,0.08399150573142528,248,9272,6
114,TCF7L2(+),-0.904028629649188,2.4855795851835767e-75,2.7723772296278357e-75,0.2092034788752896,0.3914791508535142,248,9272,6
115,ILF2(+),-0.9019019181443887,4.874388817843438e-148,5.654291028698387e-147,0.07222999360625887,0.1349637416079352,248,9272,6
116,BHLHE40(+),-0.8937679517315295,4.2556508538252646e-24,4.2556508538252646e-24,0.10411680604177809,0.19345136634615184,248,9272,6
117,SMAD1(+),-0.8861631271992585,8.243582104504337e-103,1.0866540046846626e-102,0.09394589567978949,0.1736358893430649,248,9272,6
118,PITX1(+),-0.8831980134400165,2.2937110951910907e-149,4.434508117369442e-148,0.07322934835950833,0.13506855895386968,248,9272,6
119,KLF4(+),-0.8810879401735343,1.017154908971022e-100,1.3109996604515393e-100,0.05786147283502908,0.10656715862565226,248,9272,6
120,NFIC(+),-0.8742801069149582,3.7317593502490426e-144,1.9676549301313134e-143,0.07813862713284861,0.14323538372995556,248,9272,6
121,NFIA(+),-0.8716133107770263,1.611562616414333e-142,6.2313754501354206e-142,0.07340648378095498,0.13431242039137978,248,9272,6
